ProgId,pThreads,Mem_Hits,Mem_Misses,Mem_Latency,L1_Sets,L1_Latency,L1_Hits,L1_Misses,L2_Sets,L2_Latency,L2_Hits,L2_Misses,L3_Hits,L3_Misses,Instructions,InstructionsPerSecond,SimTime,Cycles,CyclesPerSecond,CommittedInstructions,CommittedInstructionsPerCycle,CommittedMicroInstructions,CommittedMicroInstructionsPerCycle,BranchPredictionAccuracy
13,8,0.0,4219.0,200,64,3,208865.0,10868.0,1024,18,2537.0,0,4414.0,7762.0,2201816,13125,447436.00,1789744,10669,1567928,0.8761,2749194,1.536,0.9176
13,8,0.0,4223.0,200,128,3,213528.0,11581.0,1024,25,1332.0,0,4455.0,7798.0,2151974,13489,452670.00,1810680,11350,1517792,0.8382,2672139,1.476,0.9146
13,8,0.0,4218.0,250,64,3,212233.0,11351.0,2048,25,2536.0,0,4467.0,7827.0,2223033,13115,491506.00,1966024,11599,1587311,0.8074,2780556,1.414,0.9191
13,8,0.0,4224.0,250,128,4,187797.0,11621.0,1024,25,1297.0,0,4450.0,7746.0,2178790,13430,503820.25,2015281,12422,1538341,0.7633,2700441,1.34,0.9155
13,8,0.0,4220.0,300,64,4,180118.0,11505.0,2048,25,2535.0,0,4453.0,7919.0,2234420,13122,544674.25,2178697,12795,1591912,0.7307,2783758,1.278,0.9188
13,1,0.0,4319.0,200,64,3,1020369.0,14235.0,1024,18,12063.0,0,0.0,14914.0,3370003,15970,1051969.00,4207876,19940,2798395,0.665,5168741,1.228,0.9093
13,1,0.0,4318.0,200,128,3,1019703.0,9647.0,1024,25,7122.0,0,0.0,10821.0,3372147,16339,984952.00,3939808,19090,2798400,0.7103,5168748,1.312,0.9095
13,1,0.0,4319.0,250,64,3,1020360.0,14234.0,2048,25,12061.0,0,0.0,14914.0,3370282,15799,1136519.00,4546076,21311,2798359,0.6156,5168679,1.137,0.9093
13,1,0.0,4328.0,250,128,4,997060.0,7493.0,1024,25,4963.0,0,0.0,8642.0,3356816,16503,1078393.25,4313573,21206,2798330,0.6487,5168632,1.198,0.9095
13,1,0.0,4325.0,300,64,4,989544.0,14239.0,2048,25,12058.0,0,0.0,14920.0,3354740,15707,1293133.25,5172533,24218,2798407,0.541,5168758,0.9993,0.9095
13,2,0.0,4370.0,200,64,3,583473.0,7220.0,1024,18,4879.0,0,1025.0,7906.0,3452261,16769,660686.00,2642744,12837,2860794,1.083,5281093,1.998,0.9121
13,2,0.0,4366.0,200,128,3,604393.0,4366.0,1024,25,1356.0,0,1029.0,5470.0,3501660,17156,618762.00,2475048,12126,2908254,1.175,5362445,2.167,0.916
